Timestamp,num_ues,IMSI,RNTI,slicing_enabled,slice_id,slice_prb,power_multiplier,scheduling_policy,dl_mcs,dl_n_samples,dl_buffer [bytes],tx_brate downlink [Mbps],tx_pkts downlink,tx_errors downlink (%),dl_cqi,ul_mcs,ul_n_samples,ul_buffer [bytes],rx_brate uplink [Mbps],rx_pkts uplink,rx_errors uplink (%),ul_rssi,ul_sinr,phr,sum_requested_prbs,sum_granted_prbs,dl_pmi,dl_ri,ul_n,ul_turbo_iters
5,4,IMSI_6,31959,True,mMTC,1,1.0,QoS-PFS,9,,,0.40441176470588236,,,6,,,,,,,-109.49989745637615,,,,6,,,,
5,5,IMSI_7,37851,True,mMTC,1,1.0,QoS-PFS,9,,,0.40441176470588236,,,6,,,,,,,-106.61427239724554,,,,215,,,,
5,4,IMSI_8,20757,True,eMBB,0,1.0,QoS-PFS,-1,,,0.0,,,0,,,,,,,,,,,6,,,,
5,4,IMSI_9,26211,True,eMBB,68,1.0,QoS-PFS,3,,,10.022321428571429,,,3,,,,,,,-108.63476346623361,,,,131,,,,
5,1,IMSI_10,20626,True,mMTC,1,1.0,QoS-PFS,21,,,0.9335609243697479,,,12,,,,,,,-96.32961563798843,,,,1,,,,
5,4,IMSI_11,14681,True,eMBB,25,1.0,QoS-PFS,9,,,10.11029411764706,,,6,,,,,,,-104.05727207124355,,,,131,,,,
5,4,IMSI_12,54752,True,eMBB,22,1.0,QoS-PFS,11,,,10.095850840336135,,,7,,,,,,,-101.7360133211659,,,,131,,,,
5,3,IMSI_13,56369,True,mMTC,1,1.0,QoS-PFS,27,,,1.2447478991596639,,,15,,,,,,,-85.55824885517292,,,,9,,,,
5,5,IMSI_14,14324,True,eMBB,25,1.0,QoS-PFS,9,,,10.11029411764706,,,6,,,,,,,-104.77618175601555,,,,215,,,,
5,2,IMSI_15,12412,True,URLLC,26,1.0,QoS-PFS,0,,,1.0241596638655461,,,1,,,,,,,-111.48906602131677,,,,48,,,,
5,3,IMSI_16,17090,True,URLLC,3,1.0,QoS-PFS,9,,,1.213235294117647,,,6,,,,,,,-110.22598959234324,,,,9,,,,
5,5,IMSI_17,26956,True,eMBB,18,1.0,QoS-PFS,13,,,10.050551470588236,,,8,,,,,,,-101.71572243171548,,,,215,,,,
5,5,IMSI_18,35045,True,eMBB,153,1.0,QoS-PFS,1,,,9.693080357142856,,,2,,,,,,,-107.51745846870955,,,,215,,,,
5,4,IMSI_19,50035,True,eMBB,16,1.0,QoS-PFS,15,,,10.493697478991596,,,9,,,,,,,-98.12032356988618,,,,131,,,,
5,4,IMSI_20,43579,True,URLLC,5,1.0,QoS-PFS,5,,,1.240808823529412,,,4,,,,,,,-112.6947481816949,,,,6,,,,
5,2,IMSI_21,40882,True,eMBB,22,1.0,QoS-PFS,11,,,10.095850840336135,,,7,,,,,,,-100.48679467545423,,,,48,,,,
6,4,IMSI_0,43851,True,mMTC,0,1.0,QoS-PFS,-1,,,0.14738707983193275,,,0,,,,,,,-116.9686864624266,,,,46,,,,
6,3,IMSI_1,16810,True,URLLC,3,1.0,QoS-PFS,11,,,1.3767069327731092,,,7,,,,,,,-103.85770704208753,,,,60,,,,
6,3,IMSI_2,9638,True,eMBB,41,1.0,QoS-PFS,5,,,10.174632352941176,,,4,,,,,,,-110.56551655369162,,,,60,,,,
6,3,IMSI_3,4613,True,URLLC,5,1.0,QoS-PFS,5,,,1.240808823529412,,,4,,,,,,,-114.49688719170754,,,,9,,,,
6,3,IMSI_4,21792,True,URLLC,16,1.0,QoS-PFS,1,,,1.013655462184874,,,2,,,,,,,-109.51773297376735,,,,60,,,,
6,5,IMSI_5,51100,True,eMBB,18,1.0,QoS-PFS,13,,,10.050551470588236,,,8,,,,,,,-101.11017005515399,,,,217,,,,
6,4,IMSI_6,31959,True,mMTC,1,1.0,QoS-PFS,9,,,0.40441176470588236,,,6,,,,,,,-110.55523510180535,,,,46,,,,
6,5,IMSI_7,37851,True,mMTC,1,1.0,QoS-PFS,9,,,0.40441176470588236,,,6,,,,,,,-106.27527745485688,,,,217,,,,
6,4,IMSI_8,20757,True,eMBB,41,1.0,QoS-PFS,5,,,10.174632352941176,,,4,,,,,,,-114.04652482224606,,,,46,,,,
6,4,IMSI_9,26211,True,eMBB,68,1.0,QoS-PFS,3,,,10.022321428571429,,,3,,,,,,,-108.38737582397619,,,,134,,,,
6,2,IMSI_10,20626,True,mMTC,1,1.0,QoS-PFS,19,,,0.859703256302521,,,11,,,,,,,-99.2396173415669,,,,15,,,,
6,4,IMSI_11,14681,True,eMBB,25,1.0,QoS-PFS,9,,,10.11029411764706,,,6,,,,,,,-104.11998665518755,,,,134,,,,
6,4,IMSI_12,54752,True,eMBB,25,1.0,QoS-PFS,9,,,10.11029411764706,,,6,,,,,,,-102.62722073925349,,,,134,,,,
6,3,IMSI_13,56369,True,mMTC,1,1.0,QoS-PFS,27,,,1.2447478991596639,,,15,,,,,,,-88.04680106232321,,,,9,,,,
6,5,IMSI_14,14324,True,eMBB,22,1.0,QoS-PFS,11,,,10.095850840336135,,,7,,,,,,,-104.369054393375,,,,217,,,,
6,2,IMSI_15,12412,True,URLLC,26,1.0,QoS-PFS,0,,,1.0241596638655461,,,1,,,,,,,-111.70200244544964,,,,48,,,,
6,3,IMSI_16,17090,True,URLLC,3,1.0,QoS-PFS,9,,,1.213235294117647,,,6,,,,,,,-110.47081778903845,,,,9,,,,
6,5,IMSI_17,26956,True,eMBB,18,1.0,QoS-PFS,13,,,10.050551470588236,,,8,,,,,,,-102.38641085301649,,,,217,,,,
6,5,IMSI_18,35045,True,eMBB,158,1.0,QoS-PFS,1,,,10.009847689075631,,,2,,,,,,,-108.14121173467882,,,,217,,,,
6,4,IMSI_19,50035,True,eMBB,16,1.0,QoS-PFS,15,,,10.493697478991596,,,9,,,,,,,-97.25654308218455,,,,134,,,,
6,4,IMSI_20,43579,True,URLLC,4,1.0,QoS-PFS,7,,,1.286764705882353,,,5,,,,,,,-111.5161515570066,,,,46,,,,
6,2,IMSI_21,40882,True,eMBB,22,1.0,QoS-PFS,11,,,10.095850840336135,,,7,,,,,,,-100.75762197199543,,,,48,,,,
